[],2000,random,18.06
[0],2000,random,17.73
[1],2000,random,17.02
[2],2000,random,16.8
"[0, 1]",2000,random,17.24
"[0, 2]",2000,random,16.18
"[1, 2]",2000,random,17.61
"[0, 1, 2]",2000,random,17.1
